# D2Common.dll Data Todo List
# Format: [ ] name @ address (N xrefs)
# Generated by extract_ghidra_data_REST.ps1 on 10/16/2025 01:22:55
# Using list_data_items_by_xrefs endpoint (v1.7.4+)
# Total data items: 5000
# Total items fetched: 5000
# Sorted by xref count (highest first)
# Items with 0 xrefs excluded by API
#

[X] GlobalDataTables @ 6fde9e1c (511 xrefs)
[ ] DAT_6fdeff74 @ 6fdeff74 (4 xrefs)
[ ] DAT_6fdeff84 @ 6fdeff84 (4 xrefs)
[ ] DAT_6fdeff90 @ 6fdeff90 (4 xrefs)
[ ] DAT_6fdeffa0 @ 6fdeffa0 (4 xrefs)
[ ] DAT_6fdeffa4 @ 6fdeffa4 (4 xrefs)
[ ] DAT_6fdeffa8 @ 6fdeffa8 (4 xrefs)
[ ] DAT_6fdf0058 @ 6fdf0058 (4 xrefs)
[ ] DAT_6fdf0480 @ 6fdf0480 (4 xrefs)
[ ] DAT_6fdf0978 @ 6fdf0978 (4 xrefs)
[ ] DAT_6fdf0980 @ 6fdf0980 (4 xrefs)
[ ] DAT_6fdf09b0 @ 6fdf09b0 (4 xrefs)
[ ] DAT_6fdf0a48 @ 6fdf0a48 (4 xrefs)
[ ] DAT_6fdf0a4c @ 6fdf0a4c (4 xrefs)
[ ] DAT_6fdf0a54 @ 6fdf0a54 (4 xrefs)
[ ] DAT_6fdf0a60 @ 6fdf0a60 (4 xrefs)
[ ] DAT_6fdf0ab8 @ 6fdf0ab8 (4 xrefs)
[ ] DAT_6fdf0ac0 @ 6fdf0ac0 (4 xrefs)
[ ] DAT_6fdf0ac8 @ 6fdf0ac8 (4 xrefs)
[ ] DAT_6fdf0ae0 @ 6fdf0ae0 (4 xrefs)
[ ] DAT_6fdf0ae4 @ 6fdf0ae4 (4 xrefs)
[ ] DAT_6fdf0b14 @ 6fdf0b14 (4 xrefs)
[ ] DAT_6fdf0b24 @ 6fdf0b24 (4 xrefs)
[ ] DAT_6fdf0b2c @ 6fdf0b2c (4 xrefs)
[ ] DAT_6fdf0b60 @ 6fdf0b60 (4 xrefs)
[ ] DAT_6fdf0ba0 @ 6fdf0ba0 (4 xrefs)
[ ] DAT_6fdf13a4 @ 6fdf13a4 (4 xrefs)
[ ] DAT_6fdf13b4 @ 6fdf13b4 (4 xrefs)
[ ] DAT_6fdf13c4 @ 6fdf13c4 (4 xrefs)
[ ] DAT_6fdf13d8 @ 6fdf13d8 (4 xrefs)
[ ] DAT_6fdf1408 @ 6fdf1408 (4 xrefs)
[ ] DAT_6fdf140c @ 6fdf140c (4 xrefs)
[ ] DAT_6fdf142c @ 6fdf142c (4 xrefs)
